"gene","flu_1day_sample1","flu_1day_sample2","flu_1day_sample3","flu_1day_mean","flu_7day_sample1","flu_7day_sample2","flu_7day_sample3","flu_7day_mean","nonImmunized_sample1","nonImmunized_sample2","nonImmunized_sample3","nonImmunized_sample4","nonImmunized_sample5","nonImmunized_sample6","nonImm_healthy_mean"
"AFP",3.091880639,2.598147834,2.693906616,2.79464502966667,2.43121477,2.253566514,2.312689804,2.33249036266667,2.841813376,3.073921757,3.271752963,2.466268933,2.737931119,2.465669666,2.80955963566667
"AKT1",7.017980939,6.953327453,6.982353899,6.984554097,6.980820023,7.102668628,6.788185069,6.95722457333333,7.471750709,7.023180038,7.202321069,7.006534701,7.283669897,6.763727932,7.125197391
"APOE",2.54674520266667,2.668470016,2.98683405333333,2.734016424,2.888725025,2.88212729266667,2.789641995,2.85349810422222,3.34033300066667,3.383444454,3.59864603833333,2.726161404,2.70365480733333,2.801232436,3.09224535672222
"BRAF",3.9269950245,4.4198916475,4.494042994,4.28030988866667,4.7973501895,4.662446246,4.820253674,4.76001670316667,4.954854882,4.757741615,5.2596740905,4.452475899,3.869999294,4.5152527225,4.6349997505
"BRCA1",3.5659980305,3.5246169685,3.3626085815,3.48440786016667,3.292334073,3.103901661,3.2346858485,3.21030719416667,3.833137585,4.232549201,4.0313929865,3.3429496755,4.2648762175,3.4078366905,3.852123726
"BRCA2",2.627580065,2.431320113,2.729531138,2.596143772,2.6879128745,2.6552260045,2.551579584,2.631572821,3.1113398315,3.2953744005,3.144020973,2.578839174,2.7483257235,2.4756849965,2.89226418316667
"CCL2",3.254189282,3.201762908,2.438937355,2.96496318166667,5.209867465,6.931131635,3.249354176,5.13011775866667,2.943400347,3.020114106,2.996590915,5.582259457,3.973206729,2.856823489,3.5620658405
"CDH1",2.679565261,2.7392456605,3.100152236,2.83965438583333,2.6635613465,3.011999361,2.641058181,2.77220629616667,3.2656057895,3.3818428105,3.286248356,2.662665718,2.710926119,2.772311173,3.013266661
"CFH",2.966372626,4.316436955,3.614652037,3.632487206,2.813850435,3.19257225,3.246549137,3.08432394066667,3.717801853,3.762298939,4.333678302,3.635097725,3.032385213,2.969977494,3.57520658766667
"CTNNB1",7.77340809033333,7.99476504633333,7.92707693266667,7.89841668977778,7.911793781,8.20402182166667,7.70890931966667,7.94157497411111,8.21558601566667,8.12768103233333,8.24082541033333,7.837355054,7.45908557966667,7.86034572233333,7.95681313572222
"ERBB2",2.77342094966667,2.56735161433333,2.83719391166667,2.72598882522222,2.71055301266667,2.61535566733333,2.73545631166667,2.68712166388889,3.53660149,3.574591091,3.08020779533333,3.003459883,2.98013579566667,2.90846526533333,3.18057688672222
"HRAS",5.895502422,5.796684762,5.963361869,5.88518301766667,5.507725756,5.849629977,5.799866468,5.719074067,6.46757488,5.855811183,6.383810506,5.838683129,6.146104151,5.982502484,6.11241438883333
"IFNG",2.689281973,3.978226683,4.124899591,3.59746941566667,4.773351191,5.739566644,4.018790966,4.84390293366667,4.368996035,4.078136197,4.808612028,4.312712723,4.101681414,4.67777861,4.39131950116667
"IL10",2.69898669,2.873398238,2.592244357,2.721543095,2.704721515,2.994895335,2.8571299,2.85224891666667,3.045313195,3.073921757,3.916677246,2.552231247,2.596115643,2.659250692,2.97391829666667
"IL1B",6.6641446005,11.58815844,10.406724795,9.5530092785,12.89865584,12.6459043,12.383238095,12.6425994116667,5.424971729,5.598697498,7.8330177955,12.81366512,12.46592061,9.889003915,9.00421277791667
"IL6",2.68699392,6.203249682,6.306500126,5.06558124266667,11.62723613,11.63002031,10.58939971,11.2822187166667,3.532790656,3.506112157,3.86222465,10.84792242,7.352171523,6.917781821,6.0031672045
"KRAS",5.696293711,5.8001012948,5.8001555986,5.76551686813333,6.1258976564,6.0197642054,6.0499978458,6.06521990253333,6.9283796,6.7056168832,6.9318050242,5.9221917228,5.7180217474,5.9111214788,6.35285607606667
"MUC1",3.29161807933333,3.33871412933333,3.28134594066667,3.30389271644444,3.24687321833333,3.006826552,3.00566462066667,3.086454797,3.52037957966667,3.36463609666667,3.57418337066667,3.23509836266667,3.12466299466667,3.095369689,3.31905501555556
"NRAS",7.4155753745,7.516766689,7.826631638,7.58632456716667,7.604280407,8.2397449595,7.6624381045,7.83548782366667,8.2025264805,8.191656186,8.466111195,7.4672859985,7.4505019405,7.3952340315,7.86221930533333
"PIK3CA",5.70319769966667,5.37099414666667,5.888299823,5.65416388977778,5.78286621466667,5.195146086,6.03634951966667,5.67145394011111,6.521785878,6.625756566,6.559633944,5.68679716233333,5.626982766,6.48724144333333,6.25136629327778
"TNF",6.130804218,8.941493829,7.152495217,7.40826442133333,10.16908322,8.800951585,9.450531933,9.473522246,4.389836479,4.684353146,4.164460095,10.57719328,11.1310466,6.265857943,6.86879125716667
"VEGFA",4.703470708,4.94031601825,5.104751644,4.91617945675,4.73690974975,6.37406864175,4.511861686,5.20761335916667,5.801427443,5.0617717645,6.724921391,4.7353963035,4.48571601125,5.1315982965,5.32347186829167
